week,satisfaction,health,sleepduration,hr,hrv,readiness,activity,sleep,activecals
2020-W19,6.1,9,7.65,52,41,76,78,80,3023
2020-W18,6.7,9.1,8.2,53,37,75,81,83,3001
2020-W17,7.3,9.5,7.36,54,37,72,80,79,3121
2020-W16,5.7,9.1,7.85,53,38,77,72,78,3039
2020-W15,6,10,7.69,51,38,75,77,80,3109
2020-W14,7.4,8.7,6.95,52,37,70,74,76,2981
2020-W13,7.3,9.3,7.54,50,37,78,66,79,3035
2020-W12,6.4,9.7,7.12,51,39,78,66,77,2898
2020-W11,7,9.5,7.35,50,39,78,68,78,2874
2020-W10,5.3,10,8.02,52,37,81,66,81,2873
2020-W09,5.6,10,7.43,51,36,84,71,76,2831
2020-W08,6.4,9.9,8.05,51,37,85,79,82,2861
2020-W07,6.6,10,7.95,52,37,78,81,77,2884
2020-W06,7,10,7.82,53,36,70,85,80,2991
2020-W05,6,9.6,6.96,53,35,73,66,77,2796
2020-W04,7.1,8.3,7.08,54,38,72,75,76,2836
2020-W03,5.8,8.3,6.92,53,38,70,77,78,2895
2020-W02,5,6.3,9.06,59,28,53,73,66,2700
2020-W01,6.5,8.3,6.62,56,35,65,71,72,2991
